,city,lat,lon,temp,humidity,cloud_cover,wind_speed,country,date
0,barrow,71.29,-156.79,14.0,78,1,11.41,US,1588714222
1,vaini,-21.2,-175.2,78.8,83,75,6.93,TO,1588714222
2,yanam,16.73,82.22,80.37,92,13,1.92,IN,1588714222
3,esperance,-33.87,121.9,57.2,58,90,33.33,AU,1588714222
4,qaanaaq,77.48,-69.36,17.91,88,98,5.57,GL,1588714192
5,mataura,-46.19,168.86,47.3,83,93,4.45,NZ,1588714223
6,harper,4.38,-7.72,80.83,82,100,4.92,LR,1588714223
7,saint-philippe,-21.36,55.77,71.22,88,40,8.05,RE,1588714223
8,colesberg,-30.72,25.1,52.43,44,36,4.03,ZA,1588714223
9,albany,42.6,-73.97,58.05,20,78,5.01,US,1588714158
10,garoua,9.3,13.4,91.4,43,34,2.24,CM,1588714224
11,akyab,20.15,92.9,81.61,84,8,9.08,MM,1588714224
12,yabrud,33.97,36.66,48.87,76,40,13.87,SY,1588714224
13,yellowknife,62.46,-114.35,44.29,42,20,11.41,CA,1588714225
14,rikitea,-23.12,-134.97,73.2,62,100,9.06,PF,1588714225
15,cape town,-33.93,18.42,64.18,88,100,11.41,ZA,1588714124
16,cherskiy,68.75,161.3,27.07,93,81,3.22,RU,1588714225
17,aklavik,68.22,-135.01,33.8,86,90,4.7,CA,1588714226
18,klyuchevsk,57.12,60.94,41.0,80,0,4.47,RU,1588714226
19,grindavik,63.84,-22.43,42.8,81,75,14.99,IS,1588714226
20,santa lucia,27.91,-15.54,68.0,64,20,16.11,ES,1588714226
21,kapaa,22.08,-159.32,79.12,61,40,10.29,US,1588714227
22,rabat,33.99,-6.84,63.75,82,45,6.93,MA,1588714190
23,cidreira,-30.18,-50.21,66.69,86,94,7.49,BR,1588714207
24,lowestoft,52.48,1.75,45.21,77,0,5.99,GB,1588714227
25,zhigansk,66.77,123.37,32.54,98,100,8.12,RU,1588714228
26,atuona,-9.8,-139.03,80.96,75,35,18.3,PF,1588714228
27,tiksi,71.69,128.87,18.97,97,100,8.25,RU,1588714212
28,lebu,-37.62,-73.65,56.01,69,0,18.41,CL,1588714201
29,maceio,-9.67,-35.74,78.8,88,20,4.7,BR,1588714228
30,khatanga,71.97,102.5,-1.66,89,0,8.57,RU,1588714229
31,dalvik,65.97,-18.53,51.8,32,0,25.28,IS,1588714229
32,busselton,-33.65,115.33,46.56,98,68,25.5,AU,1588714201
33,saint george,37.1,-113.58,86.18,9,1,3.36,US,1588714082
34,hermanus,-34.42,19.23,60.01,91,80,1.01,ZA,1588714229
35,hilo,19.73,-155.09,76.91,54,90,10.29,US,1588714192
36,ilo,-17.64,-71.34,67.33,76,84,7.34,PE,1588714230
37,shingu,33.73,135.98,62.55,79,100,2.44,JP,1588713948
38,arraial do cabo,-22.97,-42.03,76.69,83,76,5.82,BR,1588714230
39,ceres,37.59,-120.96,82.89,13,1,12.75,US,1588714155
40,punta arenas,-53.15,-70.92,42.39,81,99,2.3,CL,1588714218
41,rawson,-43.3,-65.1,52.86,57,0,5.14,AR,1588714218
42,portland,45.52,-122.68,72.21,40,20,9.08,US,1588714231
43,provideniya,64.38,-173.3,33.8,59,68,2.24,RU,1588714231
44,cutervo,-6.38,-78.82,60.6,85,23,4.25,PE,1588714232
45,douglas,41.3,-96.17,60.6,45,40,18.34,US,1588714232
46,saint-paul,-21.01,55.27,70.66,78,90,11.41,RE,1588714226
47,port alfred,-33.59,26.89,60.01,85,44,3.0,ZA,1588714232
48,geraldton,-28.77,114.6,62.6,63,40,21.92,AU,1588714233
49,tangwani,28.28,69.0,86.0,51,0,9.06,PK,1588714233
50,arrifes,37.77,-25.7,60.8,77,40,12.75,PT,1588714233
51,pandan niog,6.23,120.56,83.7,75,8,5.46,PH,1588714233
52,hobart,-42.88,147.33,52.63,66,100,8.05,AU,1588714233
53,ushuaia,-54.8,-68.3,42.8,60,97,5.82,AR,1588714234
54,chuy,-33.7,-53.46,57.22,69,71,16.73,UY,1588714234
55,manaure,11.78,-72.44,95.0,44,75,11.41,CO,1588714234
56,roseburg,43.22,-123.34,73.63,33,1,5.82,US,1588713974
57,kaitangata,-46.28,169.85,51.01,73,93,8.01,NZ,1588714234
58,georgetown,5.41,100.34,79.27,94,20,4.56,MY,1588714191
59,gat,31.61,34.76,59.07,78,2,1.99,IL,1588714202
60,klaksvik,62.23,-6.59,46.4,75,89,14.99,FO,1588714235
61,bahia honda,22.9,-83.16,83.14,66,61,9.73,CU,1588714235
62,upernavik,72.79,-56.15,23.65,89,74,5.75,GL,1588714236
63,jamestown,42.1,-79.24,48.2,39,1,14.99,US,1588714236
64,gorontalo,0.54,123.06,77.09,89,28,1.88,ID,1588714236
